PPNR	Congruent	Incongruent	Year
1	21.871	21.974	2013
2	22.82	25.116	2013
3	14.81	18.5	2013
4	10.142	20.786	2013
5	14.414	22.097	2013
6	19.803	23.402	2013
7	9.881	22.212	2013
8	15.939	24.833	2013
9	9.457	11.374	2013
10	8.23	17.616	2013
11	21.49	29.729	2013
12	16.3	21.3	2013
13	14.7	27.704	2013
14	11.6	28.5	2013
15	16.765	25.133	2013
16	12.89	21.077	2013
17	12.081	20.331	2013
18	17.439	22.71	2013
19	15.666	24.837	2013
20	18.399	29.679	2013
21	17.063	21.878	2013
22	16.096	22.528	2013
23	10.628	15.449	2013
24	14.381	22.821	2013
25	13.785	24.727	2013
26	11.038	33.6	2013
27	15.315	22.254	2013
28	17.739	22.917	2013
29	24.825	17.259	2013
30	20.065	23.97	2013
31	13.137	20.761	2013
32	13.552	28.738	2013
33	13.121	28.694	2013
34	12.324	22.832	2013
35	6.636	17.598	2013
36	15.469	32.099	2013
37	15.967	19.289	2013
38	14.543	19.697	2013
39	16.332	17.231	2013
40	15.347	17.871	2013
41	14.984	32.352	2013
42	15.809	16.13	2013
43	14.106	22.661	2013
44	19.774	23.533	2013
45	13.2	16.5	2013
46	13.701	28.526	2013
47	15.274	17.935	2013
48	14.743	27.036	2013
49	8.032	25.59	2013
50	11.931	17.201	2013
51	20.664	33.328	2013
52	13.26	18.41	2013
53	23.417	25.966	2013
54	13.146	28.276	2013
55	10.031	24.467	2013
56	16.941	19.983	2013
57	10.843	20.492	2013
58	11.631	28.823	2013
59	9.128	27.731	2013
60	10.87	20.802	2013
61	16.601	26.202	2013
62	12.657	23.506	2013
63	7.525	17.075	2013
64	23.919	24.615	2013
65	10.375	14.871	2013
66	13.743	17.68	2013
67	17.405	22.651	2013
68	10.442	21.725	2013
69	8.9	19.034	2013
70	13.7	18.7	2013
71	13.671	19.681	2013
72	12.598	29.429	2013
73	14.908	21.464	2013
74	19.352	25.129	2013
75	19.359	28.297	2013
76	19.997	26.881	2013
77	20.237	24.007	2013
78	16.648	16.238	2013
79	14.412	15.064	2013
80	31.669	26.643	2013
81	14.286	18.714	2013
82	12.11	23.431	2013
83	13.619	18.83	2013
84	13.741	22.715	2014
85	14.788	25.916	2014
86	16.819	25.677	2014
87	11.888	21.213	2014
88	10.516	22.556	2014
89	9.436	20.715	2014
90	13.256	26.072	2014
91	18.643	35.135	2014
92	15.827	32.161	2014
93	13	25	2014
94	17.6	17.513	2014
95	19.065	28.724	2014
96	16.387	19.028	2014
97	19.765	33.259	2014
98	10.281	25.849	2014
99	16.702	20.62	2014
100	17.465	21.981	2014
101	19.04	29.129	2014
102	22.678	28.249	2014
103	15.767	26.069	2014
104	14.445	16.273	2014
105	16.888	28.54	2014
106	10.034	24.069	2014
107	10.091	17.241	2014
108	16.46	24.18	2014
109	15.721	22.622	2014
110	10.9	18.1	2014
111	17.196	20.492	2014
112	21.392	26.789	2014
113	17.725	28.75	2014
114	23.204	31.584	2014
115	15.926	26.59	2014
116	16.618	17.744	2014
117	14.85	24.8	2014
118	13.003	19.204	2014
119	15.247	20.389	2014
120	9.396	21.525	2014
121	11.998	18.776	2014
122	15.615	20.585	2014
123	22.891	28.302	2014
124	10.825	16.13	2014
125	14.69	21.712	2014
126	21	22	2014
127	18.363	26.899	2014
128	9.733	10.396	2014
129	14.563	24.382	2014
130	12.162	19.769	2014
131	13.076	21.463	2014
