ppnr	answer	condition
1	6	high
2	7	high
3	6	high
4	9	high
5	5	high
6	6	high
7	4	high
8	8	high
9	7	high
10	6	high
11	5	high
12	8	high
13	7	high
14	5	high
15	6	high
16	6	high
17	5	high
18	8	high
19	9	high
20	6	high
21	7	high
22	5	high
23	6	high
24	4	high
25	5	high
26	6	high
27	3	high
28	7	high
29	8	high
30	7	high
31	3	low
32	4	low
33	3	low
34	3	low
35	3	low
36	4	low
37	3	low
38	4	low
39	4	low
40	4	low
41	5	low
42	5	low
43	3	low
44	5	low
45	4	low
46	3	low
47	6	low
48	3	low
49	2	low
50	6	low
51	6	low
52	7	low
53	8	low
54	8	low
55	7	low
56	5	low
57	5	low
58	9	low
59	4	low
60	3	low
61	4	medium
62	5	medium
63	5	medium
64	4	medium
65	4	medium
66	5	medium
67	6	medium
68	3	medium
69	4	medium
70	5	medium
71	4	medium
72	5	medium
73	5	medium
74	5	medium
75	4	medium
76	4	medium
77	4	medium
78	4	medium
79	5	medium
80	6	medium
81	5	medium
82	3	medium
83	5	medium
84	6	medium
85	7	medium
86	4	medium
87	5	medium
88	4	medium
89	4	medium
90	5	medium
91	5	medium
92	5	medium
93	5	medium
94	4	medium
